level=4  	child=3  	artiste       	/	artless       	/	arts          	/	arundinaceous 
level=4  	child=4  	arytenoidal   	/	asbestiform   	/	asbestoid     	/	asbestoidal   
level=2  	child=2  	asphyxiation  	/	astarboard    	/	astronavigation	/	atonal        
level=3  	child=0  	ascription    	/	ashtray       	/	aslope        	/	asperse       
level=4  	child=0  	ascariasis    	/	ascensionist  	/	ascham        	/	ascot         
level=4  	child=1  	asgard        	/	ashake        	/	ashlaring     	/	ashpan        
level=4  	child=2  	asia          	/	asininity     	/	askance       	/	aslant        
level=4  	child=3  	asonant       	/	aspectant     	/	aspergillum   	/	aspermous     
level=4  	child=4  	aspersory     	/	asphalt       	/	asphaltic     	/	asphaltite    
level=3  	child=1  	assai         	/	assemblywoman 	/	assimilable   	/	assort        
level=4  	child=0  	aspic         	/	aspirate      	/	aspish        	/	aspishly      
level=4  	child=1  	assailant     	/	assassination 	/	assembler     	/	assemblyman   
level=4  	child=2  	assertedly    	/	assets        	/	assify        	/	assimilability
level=4  	child=3  	assimilate    	/	assistor      	/	assizes       	/	assonant      
level=4  	child=4  	assortment    	/	assuetude     	/	assumable     	/	assurable     
level=3  	child=2  	asthenia      	/	astonish      	/	astral        	/	astrolatry    
level=4  	child=0  	astatki       	/	asteraceous   	/	asterisk      	/	asteroidal    
level=4  	child=1  	asthenosphere 	/	astigmatometry	/	astigmometer  	/	astigmometry  
level=4  	child=2  	astonishing   	/	astonishment  	/	astrachan     	/	astraddle     
level=4  	child=3  	astrand       	/	astrict       	/	astride       	/	astringer     
level=4  	child=4  	astrologer    	/	astromancer   	/	astromancy    	/	astromantic   
level=3  	child=3  	astrospace    	/	atelic        	/	athletics     	/	atom          
level=4  	child=0  	astronomer    	/	astronomically	/	astronomy     	/	astropologist 
level=4  	child=1  	asymmetry     	/	asymptomatic  	/	asymptomatically	/	atacamite     
level=4  	child=2  	atheism       	/	atheist       	/	athirst       	/	athletic      
level=4  	child=3  	athwartship   	/	atmology      	/	atmolysis     	/	atmospheric   
level=4  	child=4  	atomicity     	/	atomics       	/	atomistic     	/	atonable      
level=3  	child=4  	atrophic      	/	attendant     	/	attila        	/	attribution   
level=4  	child=0  	atonality     	/	atone         	/	atrip         	/	atroceruleous 
level=4  	child=1  	atrous        	/	attached      	/	attacker      	/	attainment    
level=4  	child=2  	attenuable    	/	attenuate     	/	attest        	/	attestation   
level=4  	child=3  	attire        	/	attitudinize  	/	attractability	/	attractableness
level=4  	child=4  	atypical      	/	auctorial     	/	audible       	/	audibly       
